video_id,video_duration_seconds
c96b_xEtz0E,224.0
pm0VKHh6V2U,1887.0
B2Q4LrsZZ_E,677.0
tFuzx5Idmd4,407.0
UbNwmoGxgNg,631.0
nC4b8ntGwMs,683.0
CMBfI83K2hs,262.0
UZClw4QdcPo,870.0
7w8oHsnH_II,221.0
7qp9igm7cEc,213.0
HAwE8a6Xh1E,1102.0
sqGIbrTgXx8,543.0
yeLfnNDNnWg,764.0
vjPI6nKjejU,174.0
ICySF8pITks,1257.0
r3U6uVwtOok,301.0
coWPDrw0Jts,275.0
DbD-pSxlaHw,585.0
8gFdpqguznc,1109.0
3yXHXG9k5dM,3322.0
akuG4PT2V70,984.0
Y5tzu4_W39E,34.0
RY-qIhvzRpE,643.0
wN3sDFkwdCc,758.0
Z1tHxKYx0Sg,735.0
hcZcapv7N_M,722.0
hDppyUX4UT0,894.0
ZsZeVaHSygs,235.0
RiCFaN16omQ,354.0
gY0iHb1y9XM,2764.0
vZJASzdeH-s,1257.0
Qgv39v-NilM,512.0
JiPCOaddbbU,1653.0
fI5vDQalFUw,366.0
HUGG7W2V_vA,177.0
3RCkiNDzmGc,3357.0
_oQStu1xyIM,388.0
iRdcE2Z-cu0,41.0
FtrDggM0TnY,1061.0
z1GpGrn9LYU,262.0
rqG8GCSzhNY,1100.0
oIjKqsA-UHQ,153.0
UEQ2apg3Vzg,557.0
uAzq5NzmDC4,132.0
D4ugPDQ9elk,1236.0
DE0Hhq3eeJU,3210.0
KoHxUZMfBEQ,812.0
lvUuBX4e-QU,109.0
yUJl8FOXaTg,1004.0
wH5bvlKBBc4,640.0
pQpxHDjY7kY,617.0
OQONzQ9xWQk,1209.0
siFdb0qC3Ik,843.0
FisY0Zt-y68,2207.0
UlW0WSNDF-A,803.0
RuYI2DbgLl4,2367.0
qg9mqc1HFDA,30.0
zRpL_rjjRAE,804.0
58dQESPFnNE,1229.0
__IZspVoVIs,828.0
I6KjFLDyBUs,164.0
LP9cLZG6ixI,1664.0
7YnRBG0dpHw,384.0
mZtHW-6Ze28,620.0
OB_q4gMVPoU,58.0
J4mA27N4Yz8,192.0
1mMux_Tevi8,610.0
tzIu1ajxnks,1236.0
RBf-PVMpW58,892.0
QZsz1RYEpC0,972.0
TAQBLEs3H7o,2235.0
Ynhebk9SdPM,645.0
qlMmxbV2oxs,228.0
E5pJMR4LFzs,252.0
jXIV_NvqQ_0,328.0
GFtIzQaCGtk,621.0
d83JyaMFHK0,178.0
QR0WIel3hnU,85.0
GVOkUBCEPEg,159.0
IEwvfXhkLx4,585.0
4xk9cYWwmkQ,1060.0
cGEzR7Knq24,2345.0
6p0UxIj2DFc,895.0
iTddkBiCDv8,1170.0
E0xic7me0qg,923.0
cJlMnjxxc-Q,605.0
Xjvd2uOqZQE,1189.0
owmcb3EbJsA,217.0
jGuKgdT1dSI,19867.0
M_JwRcM73FI,212.0
2QAMVdHaepk,43.0
TwNaLIErOQY,289.0
arFTieI7-vw,485.0
PkhA-mA1YWA,857.0
DX9JrjfZCPA,26.0
cv_XBHrIY9U,655.0
PDTBxOEULn0,685.0
DF5q3BIgv7g,60.0
n596cNhAwLQ,424.0
Xr-E7vU99TQ,939.0
702uU0t65og,180.0
y76sliL2rxE,209.0
MrUNdGFiFaE,2145.0
jpvk4cjtJUQ,34.0
UbylhsfJ_Ww,121.0
IWGNvQy5T3s,1144.0
WWj-xc1WVgM,333.0
xePEPm4ZS0Y,382.0
2prq4Mz6R7c,207.0
5kFVXgs2XIw,105.0
uMSt-lH7J7o,2219.0
PW96CaNwU74,595.0
gOLn9-aiEl4,644.0
_8Nwm9gyMHo,30.0
rmuoJ2hGXwk,35.0
_EUBoTlrTVo,1360.0
smYFg5pEzAU,159.0
12_jprcq4_0,1362.0
wBrhZphn-xA,703.0
oHRXVv9_n8U,35.0
myirtmTCnpI,1201.0
1xRoiV7eAHk,900.0
vhcJCErwvvE,611.0
2_-updv6eJE,499.0
YUFd7jpqf5I,1065.0
10iO_0yTRb0,1544.0
6RomFPyzen8,90.0
pps2ZCRMEWM,868.0
ufdD9nZtgbw,2330.0
PbPODDfgQMA,477.0
0SqwWzHuHJ0,727.0
R8g9Nx3KMpo,1112.0
1egzSM38F0w,1124.0
IsYl4qgaeNE,58.0
9KzPoM5JjOQ,825.0
TpeTxeAgOcE,397.0
_I9T4hxmZXU,92.0
XHiun7PE8x4,129.0
fgDpGw6Goio,151.0
VPpPSWl1pyY,776.0
qVdRunnOp1A,158.0
dw8iPOE_R3A,198.0
UbCGT0n4GgM,1927.0
CUMnOnx6KOY,356.0
NraRl0HTsHg,851.0
9fn0OIgxKeU,115.0
K9Rler_rkhw,270.0
RSPp1NLGeZk,45.0
CpPjh6fasA8,536.0
rcNPgc7hPBI,10.0
hEsSIQXvn98,1421.0
UfrpAF2I-FM,176.0
nBbX4rlnjWA,1326.0
Do62CVwCrsA,35.0
FJ5BRUyBTYw,1273.0
XKaGtXcTCko,38.0
jQNMkRY9t2c,35.0
zO0rrrs08qI,228.0
Fn971yD0720,1197.0
wpHP2f2wolU,652.0
a_u_lumUksk,2791.0
wDm7PtFXUQo,319.0
FHuUAcyT3Lw,100.0
Sq61gsC-fTw,1747.0
RilczE2ToBc,2358.0
8tUtWSVZAXQ,231.0
yXy1PxHUCfI,825.0
eBMRDMlgrIk,103.0
Ik0lQHcsL_Y,206.0
KkySpAawf_E,1095.0
4w3MPiGdKmE,1023.0
nSa99zBLaQA,1705.0
cKlEE_EYuNM,204.0
gB3dMSfokI0,829.0
jF9ZZ15L_Wk,1207.0
TG0S7WycOio,524.0
1tmTmwIVfaQ,42.0
8O3P-g8daws,1054.0
L1H3E_p_1k0,106.0
tle_B0a2WMs,458.0
Y0_2sd3IROM,1222.0
bODY50rqPZg,203.0
4B_CgZ2SjWk,138.0
Lep-nLMuFys,408.0
baJ7Mb0IwKQ,1124.0
6HFkkqOi9rQ,321.0
T5TrTse80s8,1269.0
SKokTMxtwJc,1267.0
aUHP1AA54Mk,109.0
k9jad49IF7I,1390.0
