video_id,trending_status,video_duration_minutes,log_prior_trending_count,publish_day,publish_hour,log_video_duration_minutes,title_length,title_sentiment_compound,title_has_emoji,tags_count,title_tag_ratio,log_description_length,desc_links_count,desc_hashtags_count,desc_sentiment,desc_richness
yzxFcqOuHik,Trending,8.566666666666666,0.6931471805599453,Tuesday,6,2.2582848340974655,69,-0.7003,1,0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0
yzxGT7iLsr0,Trending,14.866666666666667,2.4849066497880004,Sunday,12,2.7642204725692645,94,0.0,0,17,0.0,7.035268599281097,0.0,5.0,0.7915,0.004405286343612335
z-NXNAoVtkE,Trending,,5.424950017481403,Tuesday,10,,86,0.0,0,21,0.09090909090909091,7.00669522683704,5.0,6.0,0.4859,0.009972801450589302
z-SpJ37z8UY,Trending,0.35,1.3862943611198906,Thursday,11,0.30010459245033805,46,-0.4084,0,19,0.14285714285714285,6.985641817639208,3.0,0.0,0.8256,0.002777777777777778
z-lISu9E27k,Non-Trending,6.033333333333333,1.6094379124341003,Tuesday,8,1.9506607518139112,73,0.4215,0,31,0.0,6.658011045870748,7.0,2.0,0.8621,0.011568123393316195
z-qA8eXao24,Non-Trending,0.9166666666666666,1.6094379124341003,Tuesday,3,0.6505875661411493,64,-0.4404,1,3,0.0,6.900730664045173,10.0,0.0,0.9697,0.010080645161290322
z06NHiw5H08,Trending,4.25,1.0986122886681098,Tuesday,12,1.6582280766035324,93,0.0,0,6,0.08333333333333333,7.190676034332207,6.0,3.0,0.3612,0.006787330316742082
z0fEYBrrYnU,Trending,0.8333333333333334,1.6094379124341003,Wednesday,11,0.6061358035703156,98,0.0,0,21,0.0,6.2878585601617845,9.0,0.0,0.1779,0.01675977653631285
z0gQlaIUIzo,Non-Trending,0.9833333333333333,1.3862943611198906,Sunday,9,0.6847789308894286,71,-0.7506,0,21,0.0,7.176254532017144,4.0,7.0,0.1779,0.008416220351951033
z17OKkVxcEE,Trending,14.933333333333334,1.3862943611198906,Friday,6,2.7684133508293005,94,0.7717,0,5,0.0,7.5953872788539725,1.0,3.0,0.955,0.002012072434607646
z1GpGrn9LYU,Trending,4.366666666666666,1.9459101490553132,Sunday,7,1.6802069833223074,51,-0.4981,0,11,0.0,5.648974238161206,4.0,0.0,0.4184,0.014134275618374558
z1HThu_1tzc,Non-Trending,3.466666666666667,2.1972245773362196,Friday,13,1.496642418288756,98,0.0,0,18,0.0,8.211211361793023,9.0,5.0,0.9294,0.0038033143167617496
z1JrIrK4-yw,Trending,38.2,5.918893854273146,Thursday,16,3.6686767467964168,99,0.0,0,29,0.06666666666666667,7.8628820346414905,2.0,9.0,0.991,0.004234026173979984
z1_iZrzZ44s,Trending,10.25,1.0986122886681098,Tuesday,5,2.4203681286504293,60,0.0,0,21,0.0,7.044032897274685,4.0,2.0,0.9171,0.005240174672489083
z1b2_7OdeBs,Non-Trending,21.616666666666667,2.302585092994046,Friday,5,3.1186870976127685,69,0.0,0,17,0.0,1.3862943611198906,0.0,0.0,0.0,0.0
z1n3FE0BVA8,Trending,22.166666666666668,4.962844630259907,Thursday,13,3.142714463902637,38,0.0,1,17,0.0,6.220590170099739,0.0,3.0,0.1301,0.00597609561752988
z1zdQGMXqbs,Non-Trending,14.083333333333334,1.791759469228055,Sunday,15,2.7135903814778253,89,0.9001,1,1,0.0,4.477336814478207,0.0,8.0,0.0,0.09195402298850575
z21Vouylstg,Non-Trending,3.0833333333333335,1.791759469228055,Saturday,0,1.4069136483226263,91,0.0,0,15,0.0,7.404279118037268,10.0,0.0,0.787,0.0060901339829476245
z25fmtpMjvI,Trending,13.483333333333333,4.624972813284271,Wednesday,5,2.6729985630432913,44,-0.6633,0,11,0.0,6.71295620067707,11.0,0.0,0.7746,0.01338199513381995
z2AVgUm15sQ,Trending,0.3333333333333333,3.5553480614894135,Friday,11,0.2876820724517809,57,-0.34,0,3,0.0,6.131226489483141,4.0,6.0,0.4039,0.02178649237472767
z2KtxFmiMog,Trending,14.15,1.791759469228055,Saturday,5,2.7180005319553784,55,0.3182,0,34,0.5,6.395261598115449,5.0,0.0,0.5603,0.008361204013377926
z2VZWOfH85w,Trending,18.3,2.302585092994046,Tuesday,13,2.9601050959108397,93,0.6369,1,26,0.0,7.317212408359839,10.0,7.0,0.9835,0.011295681063122924
z2ZnbJ1p85U,Non-Trending,2.85,0.6931471805599453,Friday,18,1.3480731482996928,38,0.4939,0,5,0.0,4.04305126783455,0.0,0.0,0.0,0.0
z2qS9iZpUCE,Non-Trending,0.8666666666666667,1.6094379124341003,Thursday,11,0.6241543090729939,79,0.6369,0,22,0.0,5.62040086571715,5.0,0.0,0.0,0.01818181818181818
z2sElO4Qf3o,Non-Trending,1.4666666666666666,2.70805020110221,Sunday,16,0.9028677115420143,97,0.0,0,23,0.0,6.448889394146858,4.0,5.0,0.7644,0.014263074484944533
z2ycEMlExyQ,Trending,1.6333333333333333,5.2832037287379885,Monday,16,0.9682504708048661,64,-0.25,0,27,0.0,7.531552381407289,1.0,3.0,0.9934,0.0021447721179624667
z35h7ZxxQIk,Non-Trending,57.36666666666667,0.6931471805599453,Friday,23,4.066744950623696,89,0.0,0,19,0.0,8.14060704285845,5.0,0.0,0.9456,0.0014577259475218659
z3BVbUUREnI,Non-Trending,4.0,1.6094379124341003,Monday,11,1.6094379124341003,100,0.0,0,27,0.0,7.085901464365611,0.0,18.0,0.9517,0.01507537688442211
z3JQqg9CU5w,Trending,,2.772588722239781,Monday,8,,92,0.0,0,43,0.14285714285714285,6.645090969505644,9.0,0.0,0.5267,0.01171875
z3LZbS6pM3M,Trending,3.5,3.332204510175204,Friday,5,1.5040773967762742,81,0.0,0,22,0.0,7.165493475060845,5.0,2.0,0.4404,0.005413766434648105
z3bQaFnybto,Non-Trending,30.0,1.3862943611198906,Wednesday,7,3.4339872044851463,100,0.0,0,19,0.0,5.733341276897746,0.0,3.0,0.4019,0.00974025974025974
z3hbR4AIie4,Non-Trending,16.983333333333334,3.295836866004329,Friday,12,2.889445403036034,94,0.0,0,3,0.0,6.124683390894205,5.0,0.0,0.9097,0.010964912280701754
z49l6bJG-78,Non-Trending,0.43333333333333335,0.6931471805599453,Thursday,14,0.36000273403140703,88,0.3612,0,1,0.0,1.3862943611198906,0.0,0.0,0.0,0.0
z4ClyfeY1lw,Non-Trending,2.783333333333333,2.3978952727983707,Saturday,11,1.3306054552593019,57,0.0,0,1,0.0,7.405495663199472,0.0,0.0,0.824,0.0
z4E_o-BUcX0,Trending,12.35,2.3978952727983707,Thursday,13,2.5915163848462583,47,-0.729,0,17,0.0,6.638567789166521,10.0,3.0,0.4738,0.01703800786369594
